index,location,name,permalink,username,country_code,country_emoji
0,"Sydney, New South Wales, AU",Gosia Gasiorowski,/goshahh,goshahh,AU,🇦🇺
1,"Sofia, BG",Stefan Parnarov,/sapi,sapi,BG,🇧🇬
2,BR,Manuela Ribas,/manuribas,manuribas,BR,🇧🇷
3,"Vancouver (East Mount Pleasant), British Columbia, CA",Jamie Rothwell,/jamiesonrothwell,jamiesonrothwell,CA,🇨🇦
4,"Lausanne, CH",Antistatique,/antistatique,antistatique,CH,🇨🇭
5,"lausanne, Suisse, CH",stephanie wauters,/Stephanie Wauters,Stephanie Wauters,CH,🇨🇭
6,"Berlin, Berlin, DE",Sebastian Langer,/sebastian.langer.330,sebastian.langer.330,DE,🇩🇪
7,"cairo, EG",Peter Magdy,/Mangawy,Mangawy,EG,🇪🇬
8,"Madrid, ES",Ricardo Mena ,/ricardo_mena,ricardo_mena,ES,🇪🇸
9,"Paris, France, FR",Milky - Digital innovation,/Milky,Milky,FR,🇫🇷
10,"Paris, France, FR",Milky - Digital innovation,/Milky,Milky,FR,🇫🇷
11,"Paris, France, FR",Rémy Médard,/catalarem,catalarem,FR,🇫🇷
12,"Paris, France, FR",Milky - Digital innovation,/Milky,Milky,FR,🇫🇷
13,"Paris, France, FR",Milky - Digital innovation,/Milky,Milky,FR,🇫🇷
14,"Edinburgh, GB",Claire Jones,/hivernoir,hivernoir,GB,🇬🇧
15,"Edinburgh, GB",Claire Jones,/hivernoir,hivernoir,GB,🇬🇧
16,"London, GB",iconsmind.com,/imicons,imicons,GB,🇬🇧
17,"Hemel Hempstead, Hertfordshire, GB",Slawek Jurczyk,/slawekjurczyk,slawekjurczyk,GB,🇬🇧
18,"Edinburgh, GB",Claire Jones,/hivernoir,hivernoir,GB,🇬🇧
19,"Hemel Hempstead, Hertfordshire, GB",Slawek Jurczyk,/slawekjurczyk,slawekjurczyk,GB,🇬🇧
20,"Edinburgh, GB",Claire Jones,/hivernoir,hivernoir,GB,🇬🇧
21,"London, GB",iconsmind.com,/imicons,imicons,GB,🇬🇧
22,"Edinburgh, GB",Claire Jones,/hivernoir,hivernoir,GB,🇬🇧
23,"Mumbai, Maharashtra, IN",Karthik M,/imkarthik,imkarthik,IN,🇮🇳
24,"Bangalore, Karnataka, IN",Rohith M S,/rohithdezinr,rohithdezinr,IN,🇮🇳
25,"Chennai, Tamilnadu, IN",Ramakrishna Venkatesan,/RamakrishnaUX,RamakrishnaUX,IN,🇮🇳
26,"Tehran, Tehran, IR",Hadi Davodpour,/hadivoice,hadivoice,IR,🇮🇷
27,"san severo, IT",Maurizio Fusillo,/fusillomaurizio,fusillomaurizio,IT,🇮🇹
28," DF, México, MX",Rodolfo Alvarez,/dg.rodolfoalvarez,dg.rodolfoalvarez,MX,🇲🇽
29,"Monterrey, Nuevo León, MX",Miguel C Balandrano,/balandrano,balandrano,MX,🇲🇽
30,"Lahore, Punjab, PK",Creative Stall,/creativestall,creativestall,PK,🇵🇰
31,"Lahore, Punjab, PK",Creative Stall,/creativestall,creativestall,PK,🇵🇰
32,"Lahore, Punjab, PK",Creative Stall,/creativestall,creativestall,PK,🇵🇰
33,"Moscow, RU",Anuar Zhumaev,/yxorama,yxorama,RU,🇷🇺
34,"Moscow, RU",Anuar Zhumaev,/yxorama,yxorama,RU,🇷🇺
35,"Bangkok, TH",NATAPON CHANTABUTR,/piq,piq,TH,🇹🇭
36,"İzmir, TR",Doub.co,/doub,doub,TR,🇹🇷
37,"Mobile, Alabama, US",Alma Hoffmann,/almah,almah,US,🇺🇸
38,US,Michael Loupos,/mikeydoesit,mikeydoesit,US,🇺🇸
39,"Los Angeles, California, US",Matt Brooks,/Mattebrooks,Mattebrooks,US,🇺🇸
40,"Los Angeles, CA, US",✦ Shmidt Sergey ✦,/monstercritic,monstercritic,US,🇺🇸
41,"Olympia, WA, Washington, US",Luis Prado,/Luis,Luis,US,🇺🇸
42,"New York City, New York, US",OCHA Visual,/ochavisual,ochavisual,US,🇺🇸
